,Speed,SpeedRank,Movie,City,Population,dSdt,sEdt,dIdt,dRdt
47,Slow* ,2,The Walking Dead ,New_York,8398748,1549.3168847625095,60.98074516233095,1222522.000889702,120914.70148037146
48,Slow* ,2,The Walking Dead ,New_York,8398748,983.3930052225352,38.72451960404035,1223059.247845641,120965.63462953003
49,Slow* ,2,The Walking Dead ,New_York,8398748,624.0857210466357,24.582961921474602,1223400.3590319233,120997.97228510586
50,Slow* ,2,The Walking Dead ,New_York,8398748,396.0199976472468,15.602357980793979,1223616.879444158,121018.49820021182
51,Slow* ,2,The Walking Dead ,New_York,8398748,251.2823011717929,9.901199037303028,1223754.291906894,121031.52459289457
52,Slow* ,2,The Walking Dead ,New_York,8398748,159.43690651996303,6.282727632224657,1223841.4896874318,121039.79067841322
53,Slow* ,2,The Walking Dead ,New_York,8398748,101.15899546746466,3.9864390278024064,1223896.8188750942,121045.03569040795
54,Slow* ,2,The Walking Dead ,New_York,8398748,64.18196066904568,2.529339213841645,1223931.9250765746,121048.36362353977
55,Slow* ,2,The Walking Dead ,New_York,8398748,40.72085595579147,1.6047949446092256,1223954.1992261326,121050.47512296395
56,Slow* ,2,The Walking Dead ,New_York,8398748,25.835562849534533,1.0181833775715514,1223968.3314544263,121051.81479934351
57,Slow* ,2,The Walking Dead ,New_York,8398748,16.391440586620853,0.6459942340002656,1223977.2977948294,121052.66477034717
58,Slow* ,2,The Walking Dead ,New_York,8398748,10.399564605569008,0.40985369905666386,1223982.986542507,121053.20403918547
59,Slow* ,2,The Walking Dead ,New_York,8398748,6.598002145447706,0.26003244526944946,1223986.5957855992,121053.54617980687
60,Slow* ,2,The Walking Dead ,New_York,8398748,4.186096925150618,0.16497770069534518,1223988.8856740945,121053.76325127669
61,Slow* ,2,The Walking Dead ,New_York,8398748,2.6558638660005696,0.10467002665167667,1223990.3384938522,121053.90097225203
62,Slow* ,2,The Walking Dead ,New_York,8398748,1.685008717604497,0.06640779045708181,1223991.2602342733,121053.98834921536
63,Slow* ,2,The Walking Dead ,New_York,8398748,1.0690508770868812,0.04213232999580243,1223991.8450313683,121054.04378542099
64,Slow* ,2,The Walking Dead ,New_York,8398748,0.6782573882017713,0.026730789046031097,1223992.2160549837,121054.07895683502
65,Slow* ,2,The Walking Dead ,New_York,8398748,0.4303191213269427,0.016959302247890808,1223992.4514502932,121054.10127127903
66,Slow* ,2,The Walking Dead ,New_York,8398748,0.273015143532878,0.010759798296792572,1223992.6007964169,121054.11542863701
67,Slow* ,2,The Walking Dead ,New_York,8398748,0.1732139339825316,0.00682653395648786,1223992.6955487817,121054.1244107459
68,Slow* ,2,The Walking Dead ,New_York,8398748,0.10989525139925596,0.004331081732018657,1223992.755664235,121054.13010942734
